gene symbol,overallAssociationScore,geneticAssociations,somaticMutations,drugs,pathwaysSystemsBiology,textMining,rnaExpression,animalModels,targetName,Open Targets,Consensus-RNAseq:High,Proteomics-DB:High,HPA-Ab:,Mouse Infertility,Druggable,CITDBase
PIGV,0.109495838,No data,No data,No data,No data,No data,No data,0.547479191,phosphatidylinositol glycan anchor biosynthesis class V,TRUE,,,,,,
ITGA3,0.109495838,No data,No data,No data,No data,No data,No data,0.547479191,integrin subunit alpha 3,TRUE,,,,,,
ROBO2,0.109495838,No data,No data,No data,No data,No data,No data,0.547479191,roundabout guidance receptor 2,TRUE,,,,,,
DLG5,0.109495838,No data,No data,No data,No data,No data,No data,0.547479191,discs large MAGUK scaffold protein 5,TRUE,,,,,,
PDCD4,0.109495838,No data,No data,No data,No data,No data,No data,0.547479191,programmed cell death 4,TRUE,,,,,,
FLCN,0.109495838,No data,No data,No data,No data,No data,No data,0.547479191,folliculin,TRUE,,,,,,
EPHB4,0.109495838,No data,No data,No data,No data,No data,No data,0.547479191,EPH receptor B4,TRUE,,,,,,
FRYL,0.109495838,No data,No data,No data,No data,No data,No data,0.547479191,FRY like transcription coactivator,TRUE,,,,,,
ARL3,0.109495838,No data,No data,No data,No data,No data,No data,0.547479191,ADP ribosylation factor like GTPase 3,TRUE,,,,,,
DCHS1,0.109495838,No data,No data,No data,No data,No data,No data,0.547479191,dachsous cadherin-related 1,TRUE,,,,,,
LZTS2,0.109495838,No data,No data,No data,No data,No data,No data,0.547479191,leucine zipper tumor suppressor 2,TRUE,,,,,,
ZBTB14,0.109495838,No data,No data,No data,No data,No data,No data,0.547479191,zinc finger and BTB domain containing 14,TRUE,,,,,,
VAMP5,0.109495838,No data,No data,No data,No data,No data,No data,0.547479191,vesicle associated membrane protein 5,TRUE,,,,,,
TOM1L2,0.109495838,No data,No data,No data,No data,No data,No data,0.547479191,target of myb1 like 2 membrane trafficking protein,TRUE,,,,,,
XYLT2,0.109495838,No data,No data,No data,No data,No data,No data,0.547479191,xylosyltransferase 2,TRUE,,,,,,
DCTN5,0.109490537,No data,No data,No data,No data,No data,No data,0.547452684,dynactin subunit 5,TRUE,,,,,,
TRPC1,0.109483418,No data,No data,No data,No data,No data,No data,0.547417092,transient receptor potential cation channel subfamily C member 1,TRUE,,,,,,
BRCA2,0.109475264,No data,No data,No data,No data,0.046278521,No data,0.535806689,BRCA2 DNA repair associated,TRUE,,,,,,
MBD4,0.109429339,No data,No data,No data,No data,No data,No data,0.547146695,"methyl-CpG binding domain 4, DNA glycosylase",TRUE,,,,,,
CRB1,0.109391964,No data,No data,No data,No data,0.007391597,No data,0.54511192,crumbs cell polarity complex component 1,TRUE,,,,,,
TNKS,0.10924358,No data,No data,No data,No data,No data,No data,0.546217898,tankyrase,TRUE,,,,,,
CADPS,0.109211652,No data,No data,No data,No data,No data,No data,0.54605826,calcium dependent secretion activator,TRUE,,,,,,
CKS2,0.109198522,No data,No data,No data,No data,No data,No data,0.545992608,CDC28 protein kinase regulatory subunit 2,TRUE,,,,,,
DMD,0.109164929,No data,No data,No data,No data,0.02628842,No data,0.53925254,dystrophin,TRUE,,,,,,
OAT,0.109022384,No data,No data,No data,No data,No data,No data,0.54511192,ornithine aminotransferase,TRUE,,,,,,
AIPL1,0.109022384,No data,No data,No data,No data,No data,No data,0.54511192,aryl hydrocarbon receptor interacting protein like 1,TRUE,,,,,,
PRPF3,0.109022384,No data,No data,No data,No data,No data,No data,0.54511192,pre-mRNA processing factor 3,TRUE,,,,,,
RORB,0.109022384,No data,No data,No data,No data,No data,No data,0.54511192,RAR related orphan receptor B,TRUE,,,,,,
IMPG2,0.109022384,No data,No data,No data,No data,No data,No data,0.54511192,interphotoreceptor matrix proteoglycan 2,TRUE,,,,,,
RP2,0.109022384,No data,No data,No data,No data,No data,No data,0.54511192,RP2 activator of ARL3 GTPase,TRUE,,,,,,
MFRP,0.109022384,No data,No data,No data,No data,No data,No data,0.54511192,membrane frizzled-related protein,TRUE,,,,,,
PRPF8,0.109022384,No data,No data,No data,No data,No data,No data,0.54511192,pre-mRNA processing factor 8,TRUE,,,,,,
TULP1,0.109022384,No data,No data,No data,No data,No data,No data,0.54511192,TUB like protein 1,TRUE,,,,,,
HSP90AA1,0.109008011,No data,No data,No data,No data,0.038805885,No data,0.535338586,heat shock protein 90 alpha family class A member 1,TRUE,,,,,,
SHANK3,0.109003806,No data,No data,No data,No data,0.036957985,No data,0.535779533,SH3 and multiple ankyrin repeat domains 3,TRUE,,,,,,
EZH2,0.108843507,No data,No data,No data,No data,0.05174118,No data,0.531282238,enhancer of zeste 2 polycomb repressive complex 2 subunit,TRUE,,,,,,
NPR2,0.108841421,No data,No data,No data,No data,0.023406724,No data,0.538355425,natriuretic peptide receptor 2,TRUE,,,,,,
STING1,0.108823581,No data,No data,No data,No data,0.337996627,No data,0.459618747,stimulator of interferon response cGAMP interactor 1,TRUE,,,,,,
GGT1,0.108818583,No data,No data,No data,No data,0.027718489,No data,0.537163294,gamma-glutamyltransferase 1,TRUE,,,,,,
IGF1,0.108816803,No data,No data,No data,No data,0.544084015,No data,No data,insulin like growth factor 1,TRUE,,,,,,
IL5,0.108797309,No data,No data,No data,No data,0.05081723,No data,0.531282238,interleukin 5,TRUE,,,,,,
ABCA1,0.108775223,0.000118339,No data,No data,No data,0.014783194,No data,0.540114574,ATP binding cassette subfamily A member 1,TRUE,,,,,,
FOXN1,0.108738606,No data,No data,No data,No data,0.011087396,No data,0.540921182,forkhead box N1,TRUE,,,,,,
MYO7A,0.108731917,No data,No data,No data,No data,0.038805885,No data,0.533958113,myosin VIIA,TRUE,,,,,,
LPL,0.108681199,No data,No data,No data,No data,0.048495037,No data,0.531282238,lipoprotein lipase,TRUE,,,,,,
LIN7C,0.108649868,No data,No data,No data,No data,No data,No data,0.543249339,"lin-7 homolog C, crumbs cell polarity complex component",TRUE,,,,,,
DIO1,0.108562484,No data,No data,No data,No data,No data,No data,0.542812422,iodothyronine deiodinase 1,TRUE,,,,,,
LIN28A,0.108561138,No data,No data,No data,No data,0.021250842,No data,0.53749298,lin-28 homolog A,TRUE,,,,,,
DSG3,0.10853868,No data,No data,No data,No data,No data,No data,0.542693399,desmoglein 3,TRUE,,,,,,
ADRB3,0.108516433,No data,No data,No data,No data,0.018478993,No data,0.537962418,adrenoceptor beta 3,TRUE,,,,,,
IMPDH2,0.108486772,No data,No data,0.108486772,No data,No data,No data,No data,inosine monophosphate dehydrogenase 2,TRUE,,,,,,
IMPDH1,0.108486772,No data,No data,0.108486772,No data,No data,No data,No data,inosine monophosphate dehydrogenase 1,TRUE,,,,,,
GDF11,0.108471328,No data,No data,No data,No data,No data,No data,0.542356642,growth differentiation factor 11,TRUE,,,,,,
PLAC8,0.108459071,No data,No data,No data,No data,No data,No data,0.542295355,placenta associated 8,TRUE,,,,,,
PALD1,0.108389785,No data,No data,No data,No data,No data,No data,0.541948926,phosphatase domain containing paladin 1,TRUE,,,,,,
WDR13,0.108389785,No data,No data,No data,No data,No data,No data,0.541948926,WD repeat domain 13,TRUE,,,,,,
KRT26,0.108389785,No data,No data,No data,No data,No data,No data,0.541948926,keratin 26,TRUE,,,,,,
PREP,0.108389785,No data,No data,No data,No data,No data,No data,0.541948926,prolyl endopeptidase,TRUE,,,,,,
NPB,0.108389785,No data,No data,No data,No data,No data,No data,0.541948926,neuropeptide B,TRUE,,,,,,
MIR100,0.108389785,No data,No data,No data,No data,No data,No data,0.541948926,microRNA 100,TRUE,,,,,,
SPRN,0.108389785,No data,No data,No data,No data,No data,No data,0.541948926,shadow of prion protein,TRUE,,,,,,
MTHFD1,0.108282215,0.000189239,No data,No data,No data,No data,No data,0.541174526,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1",TRUE,,,,,,
GGH,0.108281125,No data,No data,No data,No data,0.458176242,No data,0.332917533,gamma-glutamyl hydrolase,TRUE,,,,,,
GSX1,0.108184236,No data,No data,No data,No data,No data,No data,0.540921182,GS homeobox 1,TRUE,,,,,,
SERP1,0.108184236,No data,No data,No data,No data,No data,No data,0.540921182,stress associated endoplasmic reticulum protein 1,TRUE,,,,,,
HFM1,0.108184236,No data,No data,No data,No data,No data,No data,0.540921182,helicase for meiosis 1,TRUE,,,,,,
HMX3,0.108184236,No data,No data,No data,No data,No data,No data,0.540921182,H6 family homeobox 3,TRUE,,,,,,
FANCG,0.108184236,No data,No data,No data,No data,No data,No data,0.540921182,FA complementation group G,TRUE,,,,,,
CENPJ,0.108152847,No data,No data,No data,No data,No data,No data,0.540764234,centromere protein J,TRUE,,,,,,
CIBAR1,0.108152847,No data,No data,No data,No data,No data,No data,0.540764234,CBY1 interacting BAR domain containing 1,TRUE,,,,,,
RAD51C,0.108058284,No data,No data,No data,No data,No data,No data,0.540291418,RAD51 paralog C,TRUE,,,,,,
PLEKHA1,0.108048362,No data,No data,No data,No data,No data,No data,0.540241808,pleckstrin homology domain containing A1,TRUE,,,,,,
MGAT2,0.108036404,No data,No data,No data,No data,No data,No data,0.540182022,"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",TRUE,,,,,,
SLC17A9,0.10801824,No data,No data,No data,No data,No data,No data,0.540091198,solute carrier family 17 member 9,TRUE,,,,,,
L1CAM,0.108011199,No data,No data,No data,No data,No data,No data,0.540055995,L1 cell adhesion molecule,TRUE,,,,,,
PTH2,0.10800122,No data,No data,No data,No data,No data,No data,0.540006102,parathyroid hormone 2,TRUE,,,,,,
NFE2L2,0.107908272,No data,No data,No data,No data,0.065605328,No data,0.523140028,"nuclear factor, erythroid 2 like 2",TRUE,,,,,,
ADRM1,0.107904536,No data,No data,No data,No data,No data,No data,0.539522681,ADRM1 26S proteasome ubiquitin receptor,TRUE,,,,,,
SUN1,0.107897276,No data,No data,No data,No data,No data,No data,0.53948638,Sad1 and UNC84 domain containing 1,TRUE,,,,,,
ANK2,0.107849227,No data,No data,No data,No data,No data,No data,0.539246134,ankyrin 2,TRUE,,,,,,
SUCO,0.107846492,No data,No data,No data,No data,No data,No data,0.539232458,SUN domain containing ossification factor,TRUE,,,,,,
FANCD2,0.107843465,No data,No data,No data,No data,No data,No data,0.539217326,FA complementation group D2,TRUE,,,,,,
GJA8,0.107833353,No data,No data,No data,No data,No data,No data,0.539166764,gap junction protein alpha 8,TRUE,,,,,,
MAGI2,0.107823149,No data,No data,No data,No data,No data,No data,0.539115743,"membrane associated guanylate kinase, WW and PDZ domain containing 2",TRUE,,,,,,
ACTN4,0.107823149,No data,No data,No data,No data,No data,No data,0.539115743,actinin alpha 4,TRUE,,,,,,
MPV17,0.107823149,No data,No data,No data,No data,No data,No data,0.539115743,mitochondrial inner membrane protein MPV17,TRUE,,,,,,
GNE,0.107823149,No data,No data,No data,No data,No data,No data,0.539115743,glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,TRUE,,,,,,
DICER1,0.107806957,No data,No data,No data,No data,0.143982152,No data,0.503039247,"dicer 1, ribonuclease III",TRUE,,,,,,
GAS1,0.107800814,No data,No data,No data,No data,No data,No data,0.539004068,growth arrest specific 1,TRUE,,,,,,
ZC3HC1,0.107753875,No data,No data,No data,No data,0.027718489,No data,0.531839753,zinc finger C3HC-type containing 1,TRUE,,,,,,
DLX6,0.107725623,No data,No data,No data,No data,No data,No data,0.538628113,distal-less homeobox 6,TRUE,,,,,,
CTSV,0.107715948,No data,No data,No data,No data,No data,No data,0.538579738,cathepsin V,TRUE,,,,,,
PANK2,0.107714482,No data,No data,No data,No data,0.012935295,No data,0.535338586,pantothenate kinase 2,TRUE,,,,,,
ERCC6,0.107668284,No data,No data,No data,No data,No data,No data,0.538341422,"ERCC excision repair 6, chromatin remodeling factor",TRUE,,,,,,
MERTK,0.107668284,No data,No data,No data,No data,No data,No data,0.538341422,"MER proto-oncogene, tyrosine kinase",TRUE,,,,,,
PGAP1,0.107653132,No data,No data,No data,No data,No data,No data,0.538265658,post-GPI attachment to proteins inositol deacylase 1,TRUE,,,,,,
PRKAG2,0.107632351,0.000159471,No data,No data,No data,No data,No data,0.537962418,protein kinase AMP-activated non-catalytic subunit gamma 2,TRUE,,,,,,
SNAP25,0.107601924,No data,No data,No data,No data,0.022482774,No data,0.532388924,synaptosome associated protein 25,TRUE,,,,,,
SDC3,0.107592484,No data,No data,No data,No data,No data,No data,0.537962418,syndecan 3,TRUE,,,,,,
LCLAT1,0.107592484,No data,No data,No data,No data,No data,No data,0.537962418,lysocardiolipin acyltransferase 1,TRUE,,,,,,
PANK1,0.107592484,No data,No data,No data,No data,No data,No data,0.537962418,pantothenate kinase 1,TRUE,,,,,,
GFRAL,0.107592484,No data,No data,No data,No data,No data,No data,0.537962418,GDNF family receptor alpha like,TRUE,,,,,,
NPBWR1,0.107592484,No data,No data,No data,No data,No data,No data,0.537962418,neuropeptides B and W receptor 1,TRUE,,,,,,
CLPS,0.107592484,No data,No data,No data,No data,No data,No data,0.537962418,colipase,TRUE,,,,,,
MARK4,0.107592484,No data,No data,No data,No data,No data,No data,0.537962418,microtubule affinity regulating kinase 4,TRUE,,,,,,
ANXA7,0.107588475,No data,No data,No data,No data,0.026640548,No data,0.531282238,annexin A7,TRUE,,,,,,
NOG,0.107581827,No data,No data,No data,No data,0.018478993,No data,0.533289389,noggin,TRUE,,,,,,
USH1C,0.107570409,No data,No data,No data,No data,No data,No data,0.537852047,USH1 protein network component harmonin,TRUE,,,,,,
EDNRB,0.107531928,No data,No data,0.036957985,No data,0.085003367,No data,0.482017339,endothelin receptor type B,TRUE,,,,,,
TLE5,0.107455232,No data,No data,No data,No data,No data,No data,0.537276159,"TLE family member 5, transcriptional modulator",TRUE,,,,,,
GGTLC1,0.107432659,No data,No data,No data,No data,No data,No data,0.537163294,gamma-glutamyltransferase light chain 1,TRUE,,,,,,
GGTLC3,0.107432659,No data,No data,No data,No data,No data,No data,0.537163294,gamma-glutamyltransferase light chain family member 3,TRUE,,,,,,
GGT2,0.107432659,No data,No data,No data,No data,No data,No data,0.537163294,gamma-glutamyltransferase 2,TRUE,,,,,,
GGTLC2,0.107432659,No data,No data,No data,No data,No data,No data,0.537163294,gamma-glutamyltransferase light chain 2,TRUE,,,,,,
SAFB,0.107409172,No data,No data,No data,No data,0.007391597,No data,0.53519796,scaffold attachment factor B,TRUE,,,,,,
TUBB4A,0.107368032,No data,No data,No data,No data,No data,No data,0.536840158,tubulin beta 4A class IVa,TRUE,,,,,,
LIFR,0.107358694,No data,No data,No data,No data,0.011087396,No data,0.534021619,LIF receptor subunit alpha,TRUE,,,,,,
MMP9,0.107323495,No data,No data,No data,No data,0.09257701,No data,0.513473221,matrix metallopeptidase 9,TRUE,,,,,,
MARVELD2,0.107312893,No data,No data,No data,No data,No data,No data,0.536564467,MARVEL domain containing 2,TRUE,,,,,,
IL1R1,0.107312403,No data,No data,No data,No data,No data,No data,0.536562013,interleukin 1 receptor type 1,TRUE,,,,,,
DNASE1,0.107284053,No data,No data,No data,No data,0.058876124,No data,0.521701233,deoxyribonuclease 1,TRUE,,,,,,
PRKDC,0.107272792,No data,No data,No data,No data,0.020326892,No data,0.531282238,"protein kinase, DNA-activated, catalytic subunit",TRUE,,,,,,
TMEM18,0.10718146,No data,No data,No data,No data,No data,No data,0.535907301,transmembrane protein 18,TRUE,,,,,,
PRDX5,0.107180397,No data,No data,No data,No data,0.018478993,No data,0.531282238,peroxiredoxin 5,TRUE,,,,,,
CFTR,0.107167857,No data,No data,No data,No data,0.049738599,No data,0.523404637,CF transmembrane conductance regulator,TRUE,,,,,,
SGCB,0.107140087,No data,No data,No data,No data,0.030529349,No data,0.528068097,sarcoglycan beta,TRUE,,,,,,
AGA,0.1071342,No data,No data,No data,No data,0.017555043,No data,0.531282238,aspartylglucosaminidase,TRUE,,,,,,
SLC12A1,0.107124218,No data,No data,No data,No data,No data,No data,0.535621088,solute carrier family 12 member 1,TRUE,,,,,,
TAL1,0.107093469,No data,No data,No data,No data,No data,No data,0.535467343,"TAL bHLH transcription factor 1, erythroid differentiation factor",TRUE,,,,,,
APRT,0.107037588,No data,No data,No data,No data,No data,No data,0.535187941,adenine phosphoribosyltransferase,TRUE,,,,,,
SST,0.107000755,No data,No data,No data,No data,0.110173137,No data,0.507460489,somatostatin,TRUE,,,,,,
PIN1,0.106902638,No data,No data,No data,No data,No data,No data,0.534513191,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",TRUE,,,,,,
IDUA,0.106881144,No data,No data,No data,No data,0.018478993,No data,0.529785973,alpha-L-iduronidase,TRUE,,,,,,
MDK,0.106808472,No data,No data,No data,No data,0.049364513,No data,0.521701233,midkine,TRUE,,,,,,
LGMN,0.106792698,No data,No data,No data,No data,No data,No data,0.533963492,legumain,TRUE,,,,,,
PDS5A,0.106774665,No data,No data,No data,No data,No data,No data,0.533873325,PDS5 cohesin associated factor A,TRUE,,,,,,
CALM1,0.106718422,No data,No data,No data,No data,0.009239496,No data,0.531282238,calmodulin 1,TRUE,,,,,,
HOXD12,0.10665474,No data,No data,No data,No data,No data,No data,0.533273702,homeobox D12,TRUE,,,,,,
DNASE1L2,0.10665474,No data,No data,No data,No data,No data,No data,0.533273702,deoxyribonuclease 1 like 2,TRUE,,,,,,
EVX2,0.10665474,No data,No data,No data,No data,No data,No data,0.533273702,even-skipped homeobox 2,TRUE,,,,,,
GDF5,0.10665474,No data,No data,No data,No data,No data,No data,0.533273702,growth differentiation factor 5,TRUE,,,,,,
TBX4,0.10665474,No data,No data,No data,No data,No data,No data,0.533273702,T-box transcription factor 4,TRUE,,,,,,
TIMP3,0.10660921,No data,No data,No data,No data,0.196801273,No data,0.483845733,TIMP metallopeptidase inhibitor 3,TRUE,,,,,,
CAV1,0.106590779,No data,No data,No data,No data,No data,No data,0.532953896,caveolin 1,TRUE,,,,,,
PTPRC,0.106561575,No data,No data,No data,No data,0.044426578,No data,0.521701233,protein tyrosine phosphatase receptor type C,TRUE,,,,,,
ITPR3,0.106519434,No data,No data,No data,No data,No data,No data,0.532597169,"inositol 1,4,5-trisphosphate receptor type 3",TRUE,,,,,,
FGF21,0.106477852,No data,No data,No data,No data,0.120290994,No data,0.502316513,fibroblast growth factor 21,TRUE,,,,,,
ENHO,0.106407905,No data,No data,No data,No data,0.044349583,No data,0.52095213,energy homeostasis associated,TRUE,,,,,,
B3GLCT,0.106398673,No data,No data,No data,No data,No data,No data,0.531993364,beta 3-glucosyltransferase,TRUE,,,,,,
AGXT,0.106321605,No data,No data,No data,No data,0.039627173,No data,0.521701233,alanine--glyoxylate and serine--pyruvate aminotransferase,TRUE,,,,,,
MARF1,0.10629014,No data,No data,No data,No data,0.113645805,No data,0.503039247,meiosis regulator and mRNA stability factor 1,TRUE,,,,,,
PTGER1,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,prostaglandin E receptor 1,TRUE,,,,,,
ZC3H4,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,zinc finger CCCH-type containing 4,TRUE,,,,,,
SPOCK1,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1",TRUE,,,,,,
TXNDC2,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,thioredoxin domain containing 2,TRUE,,,,,,
SCIMP,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,SLP adaptor and CSK interacting membrane protein,TRUE,,,,,,
SLC47A1,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,solute carrier family 47 member 1,TRUE,,,,,,
ALPI,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,"alkaline phosphatase, intestinal",TRUE,,,,,,
PITX3,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,paired like homeodomain 3,TRUE,,,,,,
XPO5,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,exportin 5,TRUE,,,,,,
VEGFB,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,vascular endothelial growth factor B,TRUE,,,,,,
PDGFD,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,platelet derived growth factor D,TRUE,,,,,,
CER1,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,"cerberus 1, DAN family BMP antagonist",TRUE,,,,,,
ALPP,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,"alkaline phosphatase, placental",TRUE,,,,,,
KRT35,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,keratin 35,TRUE,,,,,,
KIAA0319L,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,KIAA0319 like,TRUE,,,,,,
EMD,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,emerin,TRUE,,,,,,
FAHD2A,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,fumarylacetoacetate hydrolase domain containing 2A,TRUE,,,,,,
ATXN2,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,ataxin 2,TRUE,,,,,,
LTA,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,lymphotoxin alpha,TRUE,,,,,,
ALPG,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,"alkaline phosphatase, germ cell",TRUE,,,,,,
IRX6,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,iroquois homeobox 6,TRUE,,,,,,
CACNA1E,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,calcium voltage-gated channel subunit alpha1 E,TRUE,,,,,,
KLF6,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,Kruppel like factor 6,TRUE,,,,,,
FCRL2,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,Fc receptor like 2,TRUE,,,,,,
GRB10,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,growth factor receptor bound protein 10,TRUE,,,,,,
NDUFAF6,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,NADH:ubiquinone oxidoreductase complex assembly factor 6,TRUE,,,,,,
HDGFL3,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,HDGF like 3,TRUE,,,,,,
KPTN,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,"kaptin, actin binding protein",TRUE,,,,,,
THBS3,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,thrombospondin 3,TRUE,,,,,,
GPR1,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,G protein-coupled receptor 1,TRUE,,,,,,
FAHD2B,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,fumarylacetoacetate hydrolase domain containing 2B,TRUE,,,,,,
AZGP1,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,"alpha-2-glycoprotein 1, zinc-binding",TRUE,,,,,,
CYP4X1,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,cytochrome P450 family 4 subfamily X member 1,TRUE,,,,,,
FOXP2,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,forkhead box P2,TRUE,,,,,,
DDO,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,D-aspartate oxidase,TRUE,,,,,,
TRARG1,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,trafficking regulator of GLUT4 (SLC2A4) 1,TRUE,,,,,,
MEP1B,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,meprin A subunit beta,TRUE,,,,,,
TMPRSS9,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,transmembrane serine protease 9,TRUE,,,,,,
PRLHR,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,prolactin releasing hormone receptor,TRUE,,,,,,
PPT1,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,palmitoyl-protein thioesterase 1,TRUE,,,,,,
LIN9,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,lin-9 DREAM MuvB core complex component,TRUE,,,,,,
ALS2,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,alsin Rho guanine nucleotide exchange factor ALS2,TRUE,,,,,,
TTC9,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,tetratricopeptide repeat domain 9,TRUE,,,,,,
CELF4,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,CUGBP Elav-like family member 4,TRUE,,,,,,
GRM8,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,glutamate metabotropic receptor 8,TRUE,,,,,,
RNASE1,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,"ribonuclease A family member 1, pancreatic",TRUE,,,,,,
RDH16,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,retinol dehydrogenase 16,TRUE,,,,,,
CARTPT,0.106256448,No data,No data,No data,No data,No data,No data,0.531282238,CART prepropeptide,TRUE,,,,,,
FOXJ1,0.106151547,No data,No data,No data,No data,0.018478993,No data,0.526137988,forkhead box J1,TRUE,,,,,,
PTX3,0.106139998,No data,No data,No data,No data,0.038805885,No data,0.520998518,pentraxin 3,TRUE,,,,,,
FOXC1,0.106107337,No data,No data,No data,No data,0.044349583,No data,0.519449291,forkhead box C1,TRUE,,,,,,
PRKAR1A,0.106056788,No data,No data,No data,No data,0.10897877,No data,0.503039247,protein kinase cAMP-dependent type I regulatory subunit alpha,TRUE,,,,,,
HELQ,0.105996523,No data,No data,No data,No data,No data,No data,0.529982614,"helicase, POLQ like",TRUE,,,,,,
PIK3C2G,0.105957195,No data,No data,No data,No data,No data,No data,0.529785973,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma,TRUE,,,,,,
EPHA4,0.105935959,No data,No data,No data,No data,0.036957985,No data,0.520440298,EPH receptor A4,TRUE,,,,,,
SLC3A1,0.105731996,No data,No data,No data,No data,No data,No data,0.52865998,solute carrier family 3 member 1,TRUE,,,,,,
MIP,0.105721741,No data,No data,No data,No data,No data,No data,0.528608703,major intrinsic protein of lens fiber,TRUE,,,,,,
CORIN,0.105613619,No data,No data,No data,No data,No data,No data,0.528068097,"corin, serine peptidase",TRUE,,,,,,
SPTBN2,0.105613619,No data,No data,No data,No data,No data,No data,0.528068097,"spectrin beta, non-erythrocytic 2",TRUE,,,,,,
TMEM132B,0.105613619,No data,No data,No data,No data,No data,No data,0.528068097,transmembrane protein 132B,TRUE,,,,,,
CDCA8,0.105613619,No data,No data,No data,No data,No data,No data,0.528068097,cell division cycle associated 8,TRUE,,,,,,
KBTBD13,0.105613619,No data,No data,No data,No data,No data,No data,0.528068097,kelch repeat and BTB domain containing 13,TRUE,,,,,,
NUAK2,0.105613619,No data,No data,No data,No data,No data,No data,0.528068097,NUAK family kinase 2,TRUE,,,,,,
KDM8,0.105613619,No data,No data,No data,No data,No data,No data,0.528068097,lysine demethylase 8,TRUE,,,,,,
ZG16,0.105613619,No data,No data,No data,No data,No data,No data,0.528068097,zymogen granule protein 16,TRUE,,,,,,
IZUMO1R,0.105597177,No data,No data,No data,No data,0.007391597,No data,0.526137988,"IZUMO1 receptor, JUNO",TRUE,,,,,,
ITSN1,0.105533593,No data,No data,No data,No data,No data,No data,0.527667966,intersectin 1,TRUE,,,,,,
ATCAY,0.105502994,No data,No data,No data,No data,No data,No data,0.527514968,ATCAY kinesin light chain interacting caytaxin,TRUE,,,,,,
PLP1,0.105489383,No data,No data,No data,No data,0.018478993,No data,0.522827168,proteolipid protein 1,TRUE,,,,,,
CDKN2D,0.105466176,No data,No data,No data,No data,No data,No data,0.527330878,cyclin dependent kinase inhibitor 2D,TRUE,,,,,,
PTDSS2,0.105466176,No data,No data,No data,No data,No data,No data,0.527330878,phosphatidylserine synthase 2,TRUE,,,,,,
CCL2,0.105358718,No data,No data,No data,No data,0.131371716,No data,0.493950662,C-C motif chemokine ligand 2,TRUE,,,,,,
NUBP1,0.105350364,No data,No data,No data,No data,No data,No data,0.526751821,nucleotide binding protein 1,TRUE,,,,,,
